,model_type,past_history_size,val_mse,mse,total_training_time
0,RNN,70,0.03183317929506302,0.055610883980989456,83.58789110183716
1,RNN,210,0.07766957581043243,0.068006731569767,194.8615219593048
2,RNN,364,0.0169682577252388,0.05690290033817291,267.0671646595001
3,LSTM,70,0.1751699596643448,0.8240575194358826,433.1310625076294
4,LSTM,210,,,1051.7167830467224
5,LSTM,364,,,4081.8913860321045
