,model_type,past_history_size,val_mse,mse,total_training_time
0,RNN,7,0.0012260556686669588,0.009374146349728107,8.157369136810303
1,RNN,70,0.00437957001850009,0.011422989889979362,30.344032049179077
2,RNN,140,0.0025382398162037134,0.010775362141430378,57.63786554336548
3,RNN,364,0.0008717932505533099,0.00974293053150177,112.38513207435608
4,LSTM,7,0.006033655256032944,0.010226968675851822,27.169111490249634
5,LSTM,70,0.001972140744328499,0.011532606557011604,172.58079934120178
6,LSTM,140,,,324.0338795185089
7,LSTM,364,0.0015459915157407522,0.011178847402334213,718.0920329093933
