,model_type,past_history_size,val_mse,mse,total_training_time
0,RNN,7,0.04849402979016304,0.05503934249281883,6.63275933265686
1,RNN,70,0.030701501294970512,0.04378526657819748,25.546823740005493
2,RNN,140,0.04112645611166954,0.06074350327253342,48.87264132499695
3,RNN,364,0.06666357815265656,0.08980680257081985,92.24646353721619
4,LSTM,7,0.05558360740542412,0.05660661309957504,19.184855699539185
5,LSTM,70,0.02926591783761978,0.034207284450531006,113.09270310401917
6,LSTM,140,,,191.4073212146759
7,LSTM,364,,,389.6489942073822
