,model_type,std,val_mse,mse,total_training_time
0,RNN,0.01,0.034864917397499084,0.06249329075217247,591.4712200164795
1,RNN,0.5,0.034864917397499084,0.06249329075217247,638.8683609962463
2,RNN,1.0,0.034864917397499084,0.06249329075217247,781.4420223236084
3,RNN,10.0,0.034864917397499084,0.06249329075217247,827.0363147258759
4,LSTM,0.01,,,6781.206793546677
5,LSTM,0.5,,,6552.217673301697
6,LSTM,1.0,,,6825.103671789169
7,LSTM,10.0,,,6841.19148182869
