,model_type,std,val_mse,mse,total_training_time
0,RNN,0.1,0.22301755845546722,0.6637247204780579,117.66229915618896
1,RNN,1.0,0.7381919026374817,0.7981646060943604,116.46349310874939
2,RNN,10.0,0.9741988182067871,1.0170687437057495,119.16189241409302
3,LSTM,0.1,0.029069826006889343,0.036994148045778275,457.87001872062683
4,LSTM,1.0,0.562548041343689,0.6813645362854004,390.5717692375183
5,LSTM,10.0,1.0720974206924438,0.9497084021568298,394.50604581832886
